/*Εχω γραψει 386 απο τισ 20.000*/
INSERT INTO reservation_offers VALUES
(NULL, 'Sally', 'Kiri', '1475311584', 50),
(NULL, 'Sally', 'Neteyam', '1475311584', 50),
(NULL, 'Sally', 'Naitiri', '1475311584', 50),
(NULL, 'Sally', 'Touk', '1475311584', 50),
(NULL, 'Sally', 'Loak', '1475311584', 50),
(NULL, 'Sally', 'Shara', '1475311584', 50),
(NULL, 'Sally', 'Sara', '1475311584', 50),
(NULL, 'Sally', 'Teagan', '1475311584', 50),
(NULL, 'Sally', 'Rin', '1475311584', 50),
(NULL, 'Sally', 'Spy', '1475311584', 50),
(NULL, 'Oconnels', 'James', '1475311584', 60),
(NULL, 'Oconnels', 'Kiki', '1475311584', 60),
(NULL, 'Oconnels', 'Jammy', '1475311584', 60),
(NULL, 'Oconnels', 'Jimmy', '1475311584', 60),
(NULL, 'Oconnels', 'Genesis', '1475311584', 60),
(NULL, 'Oconnels', 'Victoria', '1475311584', 60),
(NULL, 'Oconnels', 'Vicky', '1475311584', 60),
(NULL, 'Oconnels', 'Vi', '1475311584', 60),
(NULL, 'Oconnels', 'Abby', '1475311584', 60),
(NULL, 'Oconnels', 'Aden', '1475311584', 60),
(NULL, 'Lilins', 'Titos', '1475311584', 70),
(NULL, 'Lilins', 'Amir', '1475311584', 70),
(NULL, 'Lilins', 'Amar', '1475311584', 70),
(NULL, 'Lilins', 'Asmae', '1475311584', 70),
(NULL, 'Lilins', 'Asmar', '1475311584', 70),
(NULL, 'Lilins', 'Azur', '1475311584', 70),
(NULL, 'Lilins', 'Abel', '1475311584', 70),
(NULL, 'Lilins', 'Trevor', '1475311584', 70),
(NULL, 'Lilins', 'Airk', '1475311584', 70),
(NULL, 'Lilins', 'Tyrell', '1475311584', 70),
(NULL, 'Lilink', 'Tom', '1475311584', 70),
(NULL, 'Lilink', 'Tim', '1475311584', 70),
(NULL, 'Lilink', 'Timmy', '1475311584', 70),
(NULL, 'Lilink', 'Tik', '1475311584', 70),
(NULL, 'Lilink', 'Titika', '1475311584', 70),
(NULL, 'Lilink', 'Teagan', '1475311584', 70),
(NULL, 'Lilink', 'Marissa', '1475311584', 70),
(NULL, 'Lilink', 'Teressa', '1475311584', 70),
(NULL, 'Lilink', 'Teressita', '1475311584', 70),
(NULL, 'Lilink', 'Irvin', '1475311584', 70),
(NULL, 'Lilint', 'Titika', '1475311584', 75),
(NULL, 'Lilint', 'Irvin', '1475311584', 75),
(NULL, 'Lilint', 'Erin', '1475311584', 75),
(NULL, 'Lilint', 'Gwen', '1475311584', 75),
(NULL, 'Lilint', 'Peter', '1475311584', 75),
(NULL, 'Lilint', 'Tom', '1475311584', 75),
(NULL, 'Lilint', 'Tomas', '1475311584', 75),
(NULL, 'Lilint', 'Katia', '1475311584', 75),
(NULL, 'Lilint', 'Tatiana', '1475311584', 75),
(NULL, 'Lilint', 'Spencer', '1475311584', 75),
(NULL, 'Remens', 'Owen', '1475311584', 80),
(NULL, 'Remens', 'Karen', '1475311584', 80),
(NULL, 'Remens', 'William', '1475311584', 80),
(NULL, 'Remens', 'Maria', '1475311584', 80),
(NULL, 'Remens', 'Octi', '1475311584', 80),
(NULL, 'Remens', 'May', '1475311584', 80),
(NULL, 'Remens', 'Levi', '1475311584', 80),
(NULL, 'Remens', 'Genesis', '1475311584', 80),
(NULL, 'Remens', 'Declan', '1475311584', 80),
(NULL, 'Remens', 'Miriam', '1475311584', 80),
(NULL, 'Lins', 'Clementine', '1475311584', 90),
(NULL, 'Lins', 'Clem', '1475311584', 90),
(NULL, 'Lins', 'Kt', '1475311584', 90),
(NULL, 'Lins', 'Claire', '1475311584', 90),
(NULL, 'Lins', 'Valentine', '1475311584', 90),
(NULL, 'Lins', 'Erin', '1475311584', 90),
(NULL, 'Lins', 'Sophie', '1475311584', 90),
(NULL, 'Lins', 'Totoro', '1475311584', 90),
(NULL, 'Lins', 'Howl', '1475311584', 90),
(NULL, 'Lins', 'Emily', '1475311584', 90),
(NULL, 'Tants', 'Ela', '1475311584', 100),
(NULL, 'Tants', 'Elsa', '1475311584', 100),
(NULL, 'Tants', 'Wilow', '1475311584', 100),
(NULL, 'Tants', 'Peck', '1475311584', 100),
(NULL, 'Tants', 'Tim', '1475311584', 100),
(NULL, 'Tants', 'Erin', '1475311584', 100),
(NULL, 'Tants', 'Emile', '1475311584', 100),
(NULL, 'Tants', 'Yosef', '1475311584', 100),
(NULL, 'Tants', 'Charlie', '1475311584', 100),
(NULL, 'Tants', 'Tar', '1475311584', 100),
(NULL, 'Mart', 'Maleah', '1475311584', 100),
(NULL, 'Mart', 'Peter', '1475311584', 100),
(NULL, 'Mart', 'Esmeralda', '1475311584', 100),
(NULL, 'Mart', 'Erin', '1475311584', 100),
(NULL, 'Mart', 'Jade', '1475311584', 100),
(NULL, 'Mart', 'Ally', '1475311584', 100),
(NULL, 'Mart', 'Elly', '1475311584', 100),
(NULL, 'Mart', 'Matteo', '1475311584', 100),
(NULL, 'Mart', 'Aliana', '1475311584', 100),
(NULL, 'Mart', 'Yosef', '1475311584', 100),
(NULL, 'Martmortigan', 'Kit', '1475311584', 110),
(NULL, 'Martmortigan', 'Levi', '1475311584', 110),
(NULL, 'Martmortigan', 'Roons', '1475311584', 110),
(NULL, 'Martmortigan', 'Maria', '1475311584', 110),
(NULL, 'Martmortigan', 'Rooney', '1475311584', 110),
(NULL, 'Martmortigan', 'Kate', '1475311584', 110),
(NULL, 'Martmortigan', 'Lin', '1475311584', 110),
(NULL, 'Martmortigan', 'Lilou', '1475311584', 110),
(NULL, 'Martmortigan', 'Lou', '1475311584', 110),
(NULL, 'Martmortigan', 'Roon', '1475311584', 110),
(NULL, 'Boorman', 'Tik', '1475311584', 120),
(NULL, 'Boorman', 'Lilou', '1475311584', 120),
(NULL, 'Boorman', 'Boo', '1475311584', 120),
(NULL, 'Boorman', 'Elora', '1475311584', 120),
(NULL, 'Boorman', 'Bilbo', '1475311584', 120),
(NULL, 'Boorman', 'Aragon', '1475311584', 120),
(NULL, 'Boorman', 'Moira', '1475311584', 120),
(NULL, 'Boorman', 'Moiri', '1475311584', 120),
(NULL, 'Boorman', 'Star', '1475311584', 120),
(NULL, 'Boorman', 'Mia', '1475311584', 120),
(NULL, 'Alagash', 'Kit', '1475311584', 130),
(NULL, 'Alagash', 'Kat', '1475311584', 130),
(NULL, 'Alagash', 'Kate', '1475311584', 130),
(NULL, 'Alagash', 'Melo', '1475311584', 130),
(NULL, 'Alagash', 'Elenor', '1475311584', 130),
(NULL, 'Alagash', 'Pat', '1475311584', 130),
(NULL, 'Alagash', 'Patty', '1475311584', 130),
(NULL, 'Alagash', 'Mia', '1475311584', 130),
